,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
126,0,3,1,28.0,0,0,1
127,1,3,1,24.0,0,0,2
128,1,3,0,28.0,1,1,0
129,0,3,1,45.0,0,0,2
130,0,3,1,33.0,0,0,0
131,0,3,1,20.0,0,0,2
132,0,3,0,47.0,1,0,2
133,1,2,0,29.0,1,0,2
134,0,2,1,25.0,0,0,2
135,0,2,1,23.0,0,0,0
136,1,1,0,19.0,0,2,2
137,0,1,1,37.0,1,0,2
138,0,3,1,16.0,0,0,2
139,0,1,1,24.0,0,0,0
140,0,3,0,28.0,0,2,0
141,1,3,0,22.0,0,0,2
142,1,3,0,24.0,1,0,2
143,0,3,1,19.0,0,0,1
144,0,2,1,18.0,0,0,2
145,0,2,1,19.0,1,1,2
146,1,3,1,27.0,0,0,2
147,0,3,0,9.0,2,2,2
148,0,2,1,36.5,0,2,2
149,0,2,1,42.0,0,0,2
150,0,2,1,51.0,0,0,2
151,1,1,0,22.0,1,0,2
152,0,3,1,55.5,0,0,2
153,0,3,1,40.5,0,2,2
154,0,3,1,28.0,0,0,2
155,0,1,1,51.0,0,1,0
156,1,3,0,16.0,0,0,1
157,0,3,1,30.0,0,0,2
158,0,3,1,28.0,0,0,2
159,0,3,1,28.0,8,2,2
160,0,3,1,44.0,0,1,2
161,1,2,0,40.0,0,0,2
162,0,3,1,26.0,0,0,2
163,0,3,1,17.0,0,0,2
164,0,3,1,1.0,4,1,2
165,1,3,1,9.0,0,2,2
166,1,1,0,28.0,0,1,2
167,0,3,0,45.0,1,4,2
168,0,1,1,28.0,0,0,2
169,0,3,1,28.0,0,0,2
170,0,1,1,61.0,0,0,2
171,0,3,1,4.0,4,1,1
172,1,3,0,1.0,1,1,2
173,0,3,1,21.0,0,0,2
174,0,1,1,56.0,0,0,0
175,0,3,1,18.0,1,1,2
176,0,3,1,28.0,3,1,2
177,0,1,0,50.0,0,0,0
178,0,2,1,30.0,0,0,2
179,0,3,1,36.0,0,0,2
180,0,3,0,28.0,8,2,2
181,0,2,1,28.0,0,0,0
182,0,3,1,9.0,4,2,2
183,1,2,1,1.0,2,1,2
184,1,3,0,4.0,0,2,2
185,0,1,1,28.0,0,0,2
186,1,3,0,28.0,1,0,1
187,1,1,1,45.0,0,0,2
188,0,3,1,40.0,1,1,1
189,0,3,1,36.0,0,0,2
190,1,2,0,32.0,0,0,2
191,0,2,1,19.0,0,0,2
192,1,3,0,19.0,1,0,2
193,1,2,1,3.0,1,1,2
194,1,1,0,44.0,0,0,0
195,1,1,0,58.0,0,0,0
196,0,3,1,28.0,0,0,1
197,0,3,1,42.0,0,1,2
198,1,3,0,28.0,0,0,1
199,0,2,0,24.0,0,0,2
200,0,3,1,28.0,0,0,2
201,0,3,1,28.0,8,2,2
202,0,3,1,34.0,0,0,2
203,0,3,1,45.5,0,0,0
204,1,3,1,18.0,0,0,2
205,0,3,0,2.0,0,1,2
206,0,3,1,32.0,1,0,2
207,1,3,1,26.0,0,0,0
208,1,3,0,16.0,0,0,1
209,1,1,1,40.0,0,0,0
210,0,3,1,24.0,0,0,2
211,1,2,0,35.0,0,0,2
212,0,3,1,22.0,0,0,2
213,0,2,1,30.0,0,0,2
214,0,3,1,28.0,1,0,1
215,1,1,0,31.0,1,0,0
216,1,3,0,27.0,0,0,2
217,0,2,1,42.0,1,0,2
218,1,1,0,32.0,0,0,0
219,0,2,1,30.0,0,0,2
220,1,3,1,16.0,0,0,2
221,0,2,1,27.0,0,0,2
222,0,3,1,51.0,0,0,2
223,0,3,1,28.0,0,0,2
224,1,1,1,38.0,1,0,2
225,0,3,1,22.0,0,0,2
226,1,2,1,19.0,0,0,2
227,0,3,1,20.5,0,0,2
228,0,2,1,18.0,0,0,2
229,0,3,0,28.0,3,1,2
230,1,1,0,35.0,1,0,2
231,0,3,1,29.0,0,0,2
232,0,2,1,59.0,0,0,2
233,1,3,0,5.0,4,2,2
234,0,2,1,24.0,0,0,2
235,0,3,0,28.0,0,0,2
236,0,2,1,44.0,1,0,2
237,1,2,0,8.0,0,2,2
238,0,2,1,19.0,0,0,2
239,0,2,1,33.0,0,0,2
240,0,3,0,28.0,1,0,0
241,1,3,0,28.0,1,0,1
242,0,2,1,29.0,0,0,2
243,0,3,1,22.0,0,0,2
244,0,3,1,30.0,0,0,0
245,0,1,1,44.0,2,0,1
246,0,3,0,25.0,0,0,2
247,1,2,0,24.0,0,2,2
248,1,1,1,37.0,1,1,2
249,0,2,1,54.0,1,0,2
250,0,3,1,28.0,0,0,2
251,0,3,0,29.0,1,1,2
252,0,1,1,62.0,0,0,2
253,0,3,1,30.0,1,0,2
254,0,3,0,41.0,0,2,2
255,1,3,0,29.0,0,2,0
256,1,1,0,28.0,0,0,0
257,1,1,0,30.0,0,0,2
258,1,1,0,35.0,0,0,0
259,1,2,0,50.0,0,1,2
260,0,3,1,28.0,0,0,1
261,1,3,1,3.0,4,2,2
262,0,1,1,52.0,1,1,2
263,0,1,1,40.0,0,0,2
264,0,3,0,28.0,0,0,1
265,0,2,1,36.0,0,0,2
266,0,3,1,16.0,4,1,2
267,1,3,1,25.0,1,0,2
268,1,1,0,58.0,0,1,2
269,1,1,0,35.0,0,0,2
270,0,1,1,28.0,0,0,2
271,1,3,1,25.0,0,0,2
272,1,2,0,41.0,0,1,2
273,0,1,1,37.0,0,1,0
274,1,3,0,28.0,0,0,1
275,1,1,0,63.0,1,0,2
276,0,3,0,45.0,0,0,2
277,0,2,1,28.0,0,0,2
278,0,3,1,7.0,4,1,1
279,1,3,0,35.0,1,1,2
280,0,3,1,65.0,0,0,1
281,0,3,1,28.0,0,0,2
282,0,3,1,16.0,0,0,2
283,1,3,1,19.0,0,0,2
284,0,1,1,28.0,0,0,2
285,0,3,1,33.0,0,0,0
286,1,3,1,30.0,0,0,2
287,0,3,1,22.0,0,0,2
288,1,2,1,42.0,0,0,2
289,1,3,0,22.0,0,0,1
290,1,1,0,26.0,0,0,2
291,1,1,0,19.0,1,0,0
292,0,2,1,36.0,0,0,0
293,0,3,0,24.0,0,0,2
294,0,3,1,24.0,0,0,2
295,0,1,1,28.0,0,0,0
296,0,3,1,23.5,0,0,0
297,0,1,0,2.0,1,2,2
298,1,1,1,28.0,0,0,2
299,1,1,0,50.0,0,1,0
300,1,3,0,28.0,0,0,1
301,1,3,1,28.0,2,0,1
302,0,3,1,19.0,0,0,2
303,1,2,0,28.0,0,0,1
304,0,3,1,28.0,0,0,2
305,1,1,1,0.92,1,2,2
306,1,1,0,28.0,0,0,0
307,1,1,0,17.0,1,0,0
308,0,2,1,30.0,1,0,0
309,1,1,0,30.0,0,0,0
310,1,1,0,24.0,0,0,0
311,1,1,0,18.0,2,2,0
312,0,2,0,26.0,1,1,2
313,0,3,1,28.0,0,0,2
314,0,2,1,43.0,1,1,2
315,1,3,0,26.0,0,0,2
316,1,2,0,24.0,1,0,2
317,0,2,1,54.0,0,0,2
318,1,1,0,31.0,0,2,2
319,1,1,0,40.0,1,1,0
320,0,3,1,22.0,0,0,2
321,0,3,1,27.0,0,0,2
322,1,2,0,30.0,0,0,1
323,1,2,0,22.0,1,1,2
324,0,3,1,28.0,8,2,2
325,1,1,0,36.0,0,0,0
326,0,3,1,61.0,0,0,2
327,1,2,0,36.0,0,0,2
328,1,3,0,31.0,1,1,2
329,1,1,0,16.0,0,1,0
330,1,3,0,28.0,2,0,1
331,0,1,1,45.5,0,0,2
332,0,1,1,38.0,0,1,2
333,0,3,1,16.0,2,0,2
334,1,1,0,28.0,1,0,2
335,0,3,1,28.0,0,0,2
336,0,1,1,29.0,1,0,2
337,1,1,0,41.0,0,0,0
338,1,3,1,45.0,0,0,2
339,0,1,1,45.0,0,0,2
340,1,2,1,2.0,1,1,2
341,1,1,0,24.0,3,2,2
342,0,2,1,28.0,0,0,2
343,0,2,1,25.0,0,0,2
344,0,2,1,36.0,0,0,2
345,1,2,0,24.0,0,0,2
346,1,2,0,40.0,0,0,2
347,1,3,0,28.0,1,0,2
348,1,3,1,3.0,1,1,2
349,0,3,1,42.0,0,0,2
350,0,3,1,23.0,0,0,2
351,0,1,1,28.0,0,0,2
352,0,3,1,15.0,1,1,0
353,0,3,1,25.0,1,0,2
354,0,3,1,28.0,0,0,0
355,0,3,1,28.0,0,0,2
356,1,1,0,22.0,0,1,2
357,0,2,0,38.0,0,0,2
358,1,3,0,28.0,0,0,1
359,1,3,0,28.0,0,0,1
360,0,3,1,40.0,1,4,2
361,0,2,1,29.0,1,0,0
362,0,3,0,45.0,0,1,0
363,0,3,1,35.0,0,0,2
364,0,3,1,28.0,1,0,1
365,0,3,1,30.0,0,0,2
366,1,1,0,60.0,1,0,0
367,1,3,0,28.0,0,0,0
368,1,3,0,28.0,0,0,1
369,1,1,0,24.0,0,0,0
370,1,1,1,25.0,1,0,0
371,0,3,1,18.0,1,0,2
372,0,3,1,19.0,0,0,2
373,0,1,1,22.0,0,0,0
374,0,3,0,3.0,3,1,2
375,1,1,0,28.0,1,0,0
376,1,3,0,22.0,0,0,2
377,0,1,1,27.0,0,2,0
378,0,3,1,20.0,0,0,0
379,0,3,1,19.0,0,0,2
380,1,1,0,42.0,0,0,0
381,1,3,0,1.0,0,2,0
382,0,3,1,32.0,0,0,2
383,1,1,0,35.0,1,0,2
384,0,3,1,28.0,0,0,2
385,0,2,1,18.0,0,0,2
386,0,3,1,1.0,5,2,2
387,1,2,0,36.0,0,0,2
388,0,3,1,28.0,0,0,1
389,1,2,0,17.0,0,0,0
390,1,1,1,36.0,1,2,2
391,1,3,1,21.0,0,0,2
392,0,3,1,28.0,2,0,2
393,1,1,0,23.0,1,0,0
394,1,3,0,24.0,0,2,2
395,0,3,1,22.0,0,0,2
396,0,3,0,31.0,0,0,2
397,0,2,1,46.0,0,0,2
398,0,2,1,23.0,0,0,2
399,1,2,0,28.0,0,0,2
400,1,3,1,39.0,0,0,2
401,0,3,1,26.0,0,0,2
402,0,3,0,21.0,1,0,2
403,0,3,1,28.0,1,0,2
404,0,3,0,20.0,0,0,2
405,0,2,1,34.0,1,0,2
406,0,3,1,51.0,0,0,2
407,1,2,1,3.0,1,1,2
408,0,3,1,21.0,0,0,2
409,0,3,0,28.0,3,1,2
410,0,3,1,28.0,0,0,2
411,0,3,1,28.0,0,0,1
412,1,1,0,33.0,1,0,1
413,0,2,1,28.0,0,0,2
414,1,3,1,44.0,0,0,2
415,0,3,0,28.0,0,0,2
416,1,2,0,34.0,1,1,2
417,1,2,0,18.0,0,2,2
418,0,2,1,30.0,0,0,2
419,0,3,0,10.0,0,2,2
420,0,3,1,28.0,0,0,0
421,0,3,1,21.0,0,0,1
422,0,3,1,29.0,0,0,2
423,0,3,0,28.0,1,1,2
424,0,3,1,18.0,1,1,2
425,0,3,1,28.0,0,0,2
426,1,2,0,28.0,1,0,2
427,1,2,0,19.0,0,0,2
428,0,3,1,28.0,0,0,1
429,1,3,1,32.0,0,0,2
430,1,1,1,28.0,0,0,2
431,1,3,0,28.0,1,0,2
432,1,2,0,42.0,1,0,2
433,0,3,1,17.0,0,0,2
434,0,1,1,50.0,1,0,2
435,1,1,0,14.0,1,2,2
436,0,3,0,21.0,2,2,2
437,1,2,0,24.0,2,3,2
438,0,1,1,64.0,1,4,2
439,0,2,1,31.0,0,0,2
440,1,2,0,45.0,1,1,2
441,0,3,1,20.0,0,0,2
442,0,3,1,25.0,1,0,2
443,1,2,0,28.0,0,0,2
444,1,3,1,28.0,0,0,2
445,1,1,1,4.0,0,2,2
446,1,2,0,13.0,0,1,2
447,1,1,1,34.0,0,0,2
448,1,3,0,5.0,2,1,0
449,1,1,1,52.0,0,0,2
450,0,2,1,36.0,1,2,2
451,0,3,1,28.0,1,0,2
452,0,1,1,30.0,0,0,0
453,1,1,1,49.0,1,0,0
454,0,3,1,28.0,0,0,2
455,1,3,1,29.0,0,0,0
456,0,1,1,65.0,0,0,2
457,1,1,0,28.0,1,0,2
458,1,2,0,50.0,0,0,2
459,0,3,1,28.0,0,0,1
460,1,1,1,48.0,0,0,2
461,0,3,1,34.0,0,0,2
462,0,1,1,47.0,0,0,2
463,0,2,1,48.0,0,0,2
464,0,3,1,28.0,0,0,2
465,0,3,1,38.0,0,0,2
466,0,2,1,28.0,0,0,2
467,0,1,1,56.0,0,0,2
468,0,3,1,28.0,0,0,1
469,1,3,0,0.75,2,1,0
470,0,3,1,28.0,0,0,2
471,0,3,1,38.0,0,0,2
472,1,2,0,33.0,1,2,2
473,1,2,0,23.0,0,0,0
474,0,3,0,22.0,0,0,2
475,0,1,1,28.0,0,0,2
476,0,2,1,34.0,1,0,2
477,0,3,1,29.0,1,0,2
478,0,3,1,22.0,0,0,2
479,1,3,0,2.0,0,1,2
480,0,3,1,9.0,5,2,2
481,0,2,1,28.0,0,0,2
482,0,3,1,50.0,0,0,2
483,1,3,0,63.0,0,0,2
484,1,1,1,25.0,1,0,0
485,0,3,0,28.0,3,1,2
486,1,1,0,35.0,1,0,2
487,0,1,1,58.0,0,0,0
488,0,3,1,30.0,0,0,2
489,1,3,1,9.0,1,1,2
490,0,3,1,28.0,1,0,2
491,0,3,1,21.0,0,0,2
492,0,1,1,55.0,0,0,2
493,0,1,1,71.0,0,0,0
494,0,3,1,21.0,0,0,2
495,0,3,1,28.0,0,0,0
496,1,1,0,54.0,1,0,0
497,0,3,1,28.0,0,0,2
498,0,1,0,25.0,1,2,2
499,0,3,1,24.0,0,0,2
500,0,3,1,17.0,0,0,2
501,0,3,0,21.0,0,0,1
502,0,3,0,28.0,0,0,1
503,0,3,0,37.0,0,0,2
504,1,1,0,16.0,0,0,2
505,0,1,1,18.0,1,0,0
506,1,2,0,33.0,0,2,2
507,1,1,1,28.0,0,0,2
508,0,3,1,28.0,0,0,2
509,1,3,1,26.0,0,0,2
510,1,3,1,29.0,0,0,1
511,0,3,1,28.0,0,0,2
512,1,1,1,36.0,0,0,2
513,1,1,0,54.0,1,0,0
514,0,3,1,24.0,0,0,2
515,0,1,1,47.0,0,0,2
516,1,2,0,34.0,0,0,2
517,0,3,1,28.0,0,0,1
518,1,2,0,36.0,1,0,2
519,0,3,1,32.0,0,0,2
520,1,1,0,30.0,0,0,2
521,0,3,1,22.0,0,0,2
522,0,3,1,28.0,0,0,0
523,1,1,0,44.0,0,1,0
524,0,3,1,28.0,0,0,0
525,0,3,1,40.5,0,0,1
526,1,2,0,50.0,0,0,2
527,0,1,1,28.0,0,0,2
528,0,3,1,39.0,0,0,2
529,0,2,1,23.0,2,1,2
530,1,2,0,2.0,1,1,2
531,0,3,1,28.0,0,0,0
532,0,3,1,17.0,1,1,0
533,1,3,0,28.0,0,2,0
534,0,3,0,30.0,0,0,2
535,1,2,0,7.0,0,2,2
536,0,1,1,45.0,0,0,2
537,1,1,0,30.0,0,0,0
538,0,3,1,28.0,0,0,2
539,1,1,0,22.0,0,2,0
540,1,1,0,36.0,0,2,2
541,0,3,0,9.0,4,2,2
542,0,3,0,11.0,4,2,2
543,1,2,1,32.0,1,0,2
544,0,1,1,50.0,1,0,0
545,0,1,1,64.0,0,0,2
546,1,2,0,19.0,1,0,2
547,1,2,1,28.0,0,0,0
548,0,3,1,33.0,1,1,2
549,1,2,1,8.0,1,1,2
550,1,1,1,17.0,0,2,0
551,0,2,1,27.0,0,0,2
552,0,3,1,28.0,0,0,1
553,1,3,1,22.0,0,0,0
554,1,3,0,22.0,0,0,2
555,0,1,1,62.0,0,0,2
556,1,1,0,48.0,1,0,0
557,0,1,1,28.0,0,0,0
558,1,1,0,39.0,1,1,2
559,1,3,0,36.0,1,0,2
560,0,3,1,28.0,0,0,1
561,0,3,1,40.0,0,0,2
562,0,2,1,28.0,0,0,2
563,0,3,1,28.0,0,0,2
564,0,3,0,28.0,0,0,2
565,0,3,1,24.0,2,0,2
566,0,3,1,19.0,0,0,2
567,0,3,0,29.0,0,4,2
568,0,3,1,28.0,0,0,0
569,1,3,1,32.0,0,0,2
570,1,2,1,62.0,0,0,2
571,1,1,0,53.0,2,0,2
572,1,1,1,36.0,0,0,2
573,1,3,0,28.0,0,0,1
574,0,3,1,16.0,0,0,2
575,0,3,1,19.0,0,0,2
576,1,2,0,34.0,0,0,2
577,1,1,0,39.0,1,0,2
578,0,3,0,28.0,1,0,0
579,1,3,1,32.0,0,0,2
580,1,2,0,25.0,1,1,2
581,1,1,0,39.0,1,1,0
582,0,2,1,54.0,0,0,2
583,0,1,1,36.0,0,0,0
584,0,3,1,28.0,0,0,0
585,1,1,0,18.0,0,2,2
586,0,2,1,47.0,0,0,2
587,1,1,1,60.0,1,1,0
588,0,3,1,22.0,0,0,2
589,0,3,1,28.0,0,0,2
590,0,3,1,35.0,0,0,2
591,1,1,0,52.0,1,0,0
592,0,3,1,47.0,0,0,2
593,0,3,0,28.0,0,2,1
594,0,2,1,37.0,1,0,2
595,0,3,1,36.0,1,1,2
596,1,2,0,28.0,0,0,2
597,0,3,1,49.0,0,0,2
598,0,3,1,28.0,0,0,0
599,1,1,1,49.0,1,0,0
600,1,2,0,24.0,2,1,2
601,0,3,1,28.0,0,0,2
602,0,1,1,28.0,0,0,2
603,0,3,1,44.0,0,0,2
604,1,1,1,35.0,0,0,0
605,0,3,1,36.0,1,0,2
606,0,3,1,30.0,0,0,2
607,1,1,1,27.0,0,0,2
608,1,2,0,22.0,1,2,0
609,1,1,0,40.0,0,0,2
610,0,3,0,39.0,1,5,2
611,0,3,1,28.0,0,0,2
612,1,3,0,28.0,1,0,1
613,0,3,1,28.0,0,0,1
614,0,3,1,35.0,0,0,2
615,1,2,0,24.0,1,2,2
616,0,3,1,34.0,1,1,2
617,0,3,0,26.0,1,0,2
618,1,2,0,4.0,2,1,2
619,0,2,1,26.0,0,0,2
620,0,3,1,27.0,1,0,0
621,1,1,1,42.0,1,0,2
622,1,3,1,20.0,1,1,0
623,0,3,1,21.0,0,0,2
624,0,3,1,21.0,0,0,2
625,0,1,1,61.0,0,0,2
626,0,2,1,57.0,0,0,1
627,1,1,0,21.0,0,0,2
628,0,3,1,26.0,0,0,2
629,0,3,1,28.0,0,0,1
630,1,1,1,80.0,0,0,2
631,0,3,1,51.0,0,0,2
632,1,1,1,32.0,0,0,0
633,0,1,1,28.0,0,0,2
634,0,3,0,9.0,3,2,2
635,1,2,0,28.0,0,0,2
636,0,3,1,32.0,0,0,2
637,0,2,1,31.0,1,1,2
638,0,3,0,41.0,0,5,2
639,0,3,1,28.0,1,0,2
640,0,3,1,20.0,0,0,2
641,1,1,0,24.0,0,0,0
642,0,3,0,2.0,3,2,2
643,1,3,1,28.0,0,0,2
644,1,3,0,0.75,2,1,0
645,1,1,1,48.0,1,0,0
646,0,3,1,19.0,0,0,2
647,1,1,1,56.0,0,0,0
648,0,3,1,28.0,0,0,2
649,1,3,0,23.0,0,0,2
650,0,3,1,28.0,0,0,2
651,1,2,0,18.0,0,1,2
652,0,3,1,21.0,0,0,2
653,1,3,0,28.0,0,0,1
654,0,3,0,18.0,0,0,1
655,0,2,1,24.0,2,0,2
656,0,3,1,28.0,0,0,2
657,0,3,0,32.0,1,1,1
658,0,2,1,23.0,0,0,2
659,0,1,1,58.0,0,2,0
660,1,1,1,50.0,2,0,2
661,0,3,1,40.0,0,0,0
662,0,1,1,47.0,0,0,2
663,0,3,1,36.0,0,0,2
664,1,3,1,20.0,1,0,2
665,0,2,1,32.0,2,0,2
666,0,2,1,25.0,0,0,2
667,0,3,1,28.0,0,0,2
668,0,3,1,43.0,0,0,2
669,1,1,0,28.0,1,0,2
670,1,2,0,40.0,1,1,2
671,0,1,1,31.0,1,0,2
672,0,2,1,70.0,0,0,2
673,1,2,1,31.0,0,0,2
674,0,2,1,28.0,0,0,2
675,0,3,1,18.0,0,0,2
676,0,3,1,24.5,0,0,2
677,1,3,0,18.0,0,0,2
678,0,3,0,43.0,1,6,2
679,1,1,1,36.0,0,1,0
680,0,3,0,28.0,0,0,1
681,1,1,1,27.0,0,0,0
682,0,3,1,20.0,0,0,2
683,0,3,1,14.0,5,2,2
684,0,2,1,60.0,1,1,2
685,0,2,1,25.0,1,2,0
686,0,3,1,14.0,4,1,2
687,0,3,1,19.0,0,0,2
688,0,3,1,18.0,0,0,2
689,1,1,0,15.0,0,1,2
690,1,1,1,31.0,1,0,2
691,1,3,0,4.0,0,1,0
692,1,3,1,28.0,0,0,2
693,0,3,1,25.0,0,0,0
694,0,1,1,60.0,0,0,2
695,0,2,1,52.0,0,0,2
696,0,3,1,44.0,0,0,2
697,1,3,0,28.0,0,0,1
698,0,1,1,49.0,1,1,0
699,0,3,1,42.0,0,0,2
700,1,1,0,18.0,1,0,0
701,1,1,1,35.0,0,0,2
702,0,3,0,18.0,0,1,0
703,0,3,1,25.0,0,0,1
704,0,3,1,26.0,1,0,2
705,0,2,1,39.0,0,0,2
706,1,2,0,45.0,0,0,2
707,1,1,1,42.0,0,0,2
708,1,1,0,22.0,0,0,2
709,1,3,1,28.0,1,1,0
710,1,1,0,24.0,0,0,0
711,0,1,1,28.0,0,0,2
712,1,1,1,48.0,1,0,2
713,0,3,1,29.0,0,0,2
714,0,2,1,52.0,0,0,2
715,0,3,1,19.0,0,0,2
716,1,1,0,38.0,0,0,0
717,1,2,0,27.0,0,0,2
718,0,3,1,28.0,0,0,1
719,0,3,1,33.0,0,0,2
720,1,2,0,6.0,0,1,2
721,0,3,1,17.0,1,0,2
722,0,2,1,34.0,0,0,2
723,0,2,1,50.0,0,0,2
724,1,1,1,27.0,1,0,2
725,0,3,1,20.0,0,0,2
726,1,2,0,30.0,3,0,2
727,1,3,0,28.0,0,0,1
728,0,2,1,25.0,1,0,2
729,0,3,0,25.0,1,0,2
730,1,1,0,29.0,0,0,2
731,0,3,1,11.0,0,0,0
732,0,2,1,28.0,0,0,2
733,0,2,1,23.0,0,0,2
734,0,2,1,23.0,0,0,2
735,0,3,1,28.5,0,0,2
736,0,3,0,48.0,1,3,2
737,1,1,1,35.0,0,0,0
738,0,3,1,28.0,0,0,2
739,0,3,1,28.0,0,0,2
740,1,1,1,28.0,0,0,2
741,0,1,1,36.0,1,0,2
742,1,1,0,21.0,2,2,0
743,0,3,1,24.0,1,0,2
744,1,3,1,31.0,0,0,2
745,0,1,1,70.0,1,1,2
746,0,3,1,16.0,1,1,2
747,1,2,0,30.0,0,0,2
748,0,1,1,19.0,1,0,2
749,0,3,1,31.0,0,0,1
750,1,2,0,4.0,1,1,2
751,1,3,1,6.0,0,1,2
752,0,3,1,33.0,0,0,2
753,0,3,1,23.0,0,0,2
754,1,2,0,48.0,1,2,2
755,1,2,1,0.67,1,1,2
756,0,3,1,28.0,0,0,2
757,0,2,1,18.0,0,0,2
758,0,3,1,34.0,0,0,2
759,1,1,0,33.0,0,0,2
760,0,3,1,28.0,0,0,2
761,0,3,1,41.0,0,0,2
762,1,3,1,20.0,0,0,0
763,1,1,0,36.0,1,2,2
764,0,3,1,16.0,0,0,2
765,1,1,0,51.0,1,0,2
766,0,1,1,28.0,0,0,0
767,0,3,0,30.5,0,0,1
768,0,3,1,28.0,1,0,1
769,0,3,1,32.0,0,0,2
770,0,3,1,24.0,0,0,2
771,0,3,1,48.0,0,0,2
772,0,2,0,57.0,0,0,2
773,0,3,1,28.0,0,0,0
